stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\patry\source\repos\podst_progr\Allegro_Hello\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.00698] added dtor for sub_bitmap 000001E5DA24E7E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00701] added dtor for sub_bitmap 000001E5DA24F380, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00703] added dtor for sub_bitmap 000001E5DA24E210, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00705] added dtor for sub_bitmap 000001E5DA24F190, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00707] added dtor for sub_bitmap 000001E5DA24DE30, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00710] added dtor for sub_bitmap 000001E5DA24F570, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00712] added dtor for sub_bitmap 000001E5DA24E9D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00715] added dtor for sub_bitmap 000001E5DA24DA50, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00719] added dtor for sub_bitmap 000001E5DA24DC40, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00721] added dtor for sub_bitmap 000001E5DA24E020, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00723] added dtor for sub_bitmap 000001E5DA24F760, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00726] added dtor for sub_bitmap 000001E5DA24E400, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00728] added dtor for sub_bitmap 000001E5DA24EBC0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00731] added dtor for sub_bitmap 000001E5DA24EDB0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00733] added dtor for sub_bitmap 000001E5DA24EFA0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00738] added dtor for sub_bitmap 000001E5DA2509E0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00741] added dtor for sub_bitmap 000001E5DA250410, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00743] added dtor for sub_bitmap 000001E5DA2507F0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00746] added dtor for sub_bitmap 000001E5DA24FA60, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00748] added dtor for sub_bitmap 000001E5DA250BD0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00750] added dtor for sub_bitmap 000001E5DA250DC0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00753] added dtor for sub_bitmap 000001E5DA251770, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00755] added dtor for sub_bitmap 000001E5DA250FB0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00758] added dtor for sub_bitmap 000001E5DA250220, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00760] added dtor for sub_bitmap 000001E5DA2511A0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00763] added dtor for sub_bitmap 000001E5DA24FC50, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00766] added dtor for sub_bitmap 000001E5DA251390, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00768] added dtor for sub_bitmap 000001E5DA251580, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00770] added dtor for sub_bitmap 000001E5DA24FE40, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00773] added dtor for sub_bitmap 000001E5DA250600, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00775] added dtor for sub_bitmap 000001E5DA250030, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00778] added dtor for sub_bitmap 000001E5DA252FC0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00781] added dtor for sub_bitmap 000001E5DA251A70, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00784] added dtor for sub_bitmap 000001E5DA251E50, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00786] added dtor for sub_bitmap 000001E5DA251C60, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00789] added dtor for sub_bitmap 000001E5DA253780, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00792] added dtor for sub_bitmap 000001E5DA252040, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00794] added dtor for sub_bitmap 000001E5DA252BE0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00796] added dtor for sub_bitmap 000001E5DA2533A0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00799] added dtor for sub_bitmap 000001E5DA252230, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00803] added dtor for sub_bitmap 000001E5DA252420, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00805] added dtor for sub_bitmap 000001E5DA252610, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00807] added dtor for sub_bitmap 000001E5DA2529F0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00810] added dtor for sub_bitmap 000001E5DA252DD0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00812] added dtor for sub_bitmap 000001E5DA252800, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00815] added dtor for sub_bitmap 000001E5DA2531B0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00817] added dtor for sub_bitmap 000001E5DA253590, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00820] added dtor for sub_bitmap 000001E5DA25C7D0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00822] added dtor for sub_bitmap 000001E5DA25B090, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00825] added dtor for sub_bitmap 000001E5DA25AAC0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00827] added dtor for sub_bitmap 000001E5DA25C200, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00830] added dtor for sub_bitmap 000001E5DA25ACB0, func 00007FFCEF371186
dtor     D               dtor.c:196  _al_register_destructor          [   0.00832] added dtor for sub_bitmap 000001E5DA25AEA0, func 00007FFCEF371186
